date,hosp,incid_hosp,rea,incid_rea,rad,incid_rad,pos,pos_7j,tx_pos,tx_incid,TO,pop,P,T,Ti,Tp,Td,incid_dchosp
2020-11-04,27511.0,3681.0,4080.0,540.0,122631.0,1995.0,50145.0,327483.0,15.38,487.94,0.806642941874259,67114992.0,50145.0,354407.0,74.72,14.15,528.06,394.0
2020-11-05,28403.0,2989.0,4221.0,447.0,124247.0,1688.0,46948.0,318225.0,15.0,474.15,0.834519572953737,67114992.0,46948.0,368576.0,69.95,12.74,549.17,367.0
2020-11-06,28955.0,3140.0,4321.0,434.0,126298.0,2100.0,45032.0,304647.0,14.51,453.92,0.854290233293792,67114992.0,45032.0,376728.0,67.1,11.95,561.32,405.0
2020-11-07,29396.0,2458.0,4410.0,394.0,127907.0,1663.0,17956.0,296310.0,14.26,441.5,0.871886120996441,67114992.0,17956.0,147226.0,26.75,12.2,219.36,306.0
2020-11-08,30217.0,1814.0,4527.0,323.0,128583.0,693.0,4384.0,293709.0,14.2,437.62,0.895017793594306,67114992.0,4384.0,34823.0,6.53,12.59,51.89,271.0
2020-11-09,31098.0,2670.0,4677.0,484.0,129704.0,1162.0,47679.0,271260.0,13.47,404.17,0.924673784104389,67114992.0,47679.0,390610.0,71.04,12.21,582.0,551.0
2020-11-10,31477.0,3168.0,4736.0,472.0,131889.0,2251.0,37435.0,249576.0,12.64,371.86,0.936338473705022,67114992.0,37435.0,350406.0,55.78,10.68,522.1,472.0
2020-11-11,31918.0,2588.0,4789.0,351.0,133665.0,1826.0,5388.0,204819.0,12.12,305.18,0.946816923685251,67114992.0,5388.0,50687.0,8.03,10.63,75.52,329.0
2020-11-12,32654.0,2371.0,4884.0,386.0,134923.0,1255.0,36546.0,194417.0,11.6,289.68,0.965599051008304,67114992.0,36546.0,360575.0,54.45,10.14,537.25,418.0
2020-11-13,32676.0,2841.0,4887.0,473.0,137124.0,2266.0,28954.0,178339.0,11.06,265.72,0.966192170818505,67114992.0,28954.0,309492.0,43.14,9.36,461.14,467.0
2020-11-14,32468.0,2202.0,4855.0,327.0,139110.0,2026.0,11009.0,171393.0,10.82,255.37,0.959865559509688,67114992.0,11009.0,115550.0,16.4,9.53,172.17,359.0
2020-11-15,33050.0,1574.0,4880.0,270.0,139779.0,685.0,2713.0,169722.0,10.77,252.88,0.964808224594701,67114992.0,2713.0,26588.0,4.04,10.2,39.62,302.0
2020-11-16,33466.0,2065.0,4903.0,366.0,140849.0,1117.0,30360.0,152404.0,10.2,227.08,0.969355476472914,67114992.0,30360.0,312277.0,45.24,9.72,465.29,508.0
2020-11-17,33139.0,2513.0,4838.0,382.0,143121.0,2326.0,21824.0,136790.0,9.73,203.81,0.956504547251878,67114992.0,21824.0,258595.0,32.52,8.44,385.3,437.0
2020-11-18,32811.0,2435.0,4759.0,361.0,145360.0,2294.0,17377.0,148779.0,9.55,221.68,0.940885725583234,67114992.0,17377.0,215410.0,25.89,8.07,320.96,427.0
2020-11-19,32314.0,2221.0,4637.0,311.0,147538.0,2230.0,16848.0,129081.0,8.95,192.33,0.916765519968367,67114992.0,16848.0,236995.0,25.1,7.11,353.12,436.0
2020-11-20,31875.0,1968.0,4566.0,264.0,149490.0,1970.0,16266.0,116391.0,8.41,173.42,0.902728351126928,67114992.0,16266.0,247003.0,24.24,6.59,368.03,386.0
2020-11-21,31365.0,1515.0,4493.0,220.0,151146.0,1687.0,7256.0,112637.0,8.19,167.83,0.888295769078687,67114992.0,7256.0,105562.0,10.81,6.87,157.29,276.0
2020-11-22,31522.0,906.0,4491.0,171.0,151650.0,513.0,1842.0,111766.0,8.13,166.53,0.887900355871886,67114992.0,1842.0,24612.0,2.74,7.48,36.67,215.0
2020-11-23,31449.0,1380.0,4438.0,244.0,152561.0,960.0,17770.0,99174.0,7.54,147.77,0.877421905891657,67114992.0,17770.0,257772.0,26.48,6.89,384.08,501.0
